sep=,
time,model_id,model_name,port_name,data
0,1,intersection,,HasCar:0,RouteId:-1
0,2,road,,0
0,3,parking lot,,3
0,1,intersection,,HasCar:1,RouteId:3
0,3,parking lot,exit,1
0,3,parking lot,,2
0,1,intersection,outForSelectedRoute,3
0,1,intersection,,HasCar:0,RouteId:3
0,2,road,,1
1,1,intersection,,HasCar:1,RouteId:3
1,3,parking lot,exit,2
1,3,parking lot,,1
1,1,intersection,outForSelectedRoute,3
1,1,intersection,,HasCar:0,RouteId:3
1,2,road,,2
2,1,intersection,,HasCar:1,RouteId:3
2,3,parking lot,exit,3
2,3,parking lot,,0
2,1,intersection,outForSelectedRoute,3
2,1,intersection,,HasCar:0,RouteId:3
2,2,road,,3
12,2,road,exit,1
12,2,road,,2
13,2,road,exit,1
13,2,road,,1
14,2,road,exit,1
14,2,road,,0
14,1,intersection,,HasCar:0,RouteId:3
14,2,road,,0
14,3,parking lot,,0
